Total: 233
admin.active_template	Active template (live)
admin.news_published_at	Publish date
admin.news_seo_score	SEO score
admin.news_slug	URL slug
admin.news_title	Title
admin.notify_agent_analyzing	AI is analyzing SEO…
admin.notify_agent_thinking	AI agent is thinking…
admin.notify_agent_writing	AI is writing…
admin.notify_design_applied	Design style applied.
admin.notify_error	Something went wrong.
admin.notify_invoice_ok	Invoice created.
admin.phone	Phone
admin.placeholder_why_choose	Why choose us
admin.preset_active	Active
admin.preset_applied	Preset applied
admin.recaptcha_help	Google reCAPTCHA v2 keys.
admin.recaptcha_secret_key_label	Secret key (private)
admin.recaptcha_site_key_label	Site key (public)
admin.section_titles	Section titles
admin.seo	SEO / Marketing
admin.seo_check_item_email	Email address (Schema + trust)
admin.seo_check_item_faq	FAQ block — 3+ questions (FAQPage schema)
admin.seo_check_item_maps_link	Google Maps profile link (sameAs)
admin.seo_check_item_phone	Phone number (Schema LocalBusiness)
admin.seo_check_item_testimonials	At least one Google review / testimonial
admin.seo_check_missing_desc_langs	Description empty for: {langs}
admin.seo_check_missing_hero_cta	Hero CTA empty for: {langs}
admin.seo_check_missing_hero_image	Or upload hero image in Blocks
admin.seo_check_missing_hreflang	Incomplete meta (title/desc/keywords) for: {langs}
admin.seo_check_missing_keywords_langs	Keywords empty for: {langs}
admin.seo_check_missing_tagline_langs	Tagline empty for: {langs}
admin.seo_check_missing_title_langs	Title empty for: {langs}
admin.seo_checklist_go_blocks	Hero image
admin.seo_checklist_title	Google SEO checklist (100%)
admin.seo_health_analyze	AI analysis
admin.seo_health_avg	Average score
admin.seo_health_fix	Improve SEO
admin.seo_health_tips_title	What to improve
admin.seo_health_title	SEO health
admin.seo_og_image_pick	Share image (OG)
admin.seo_suggestions	AI suggestions
admin.seo_tip_title_len	Title: 50–60 characters, include city + main service.
admin.seo_tips_intro	Practical rules — check before publishing.
admin.set_active	Set active
admin.stats	Statistics
admin.stats_active	Active template
admin.stats_news	Published news
admin.stats_revenue	Revenue (EUR)
admin.stats_seo_avg	Avg SEO score
admin.student_course	Course
admin.student_last_invoice	Last invoice
admin.student_monthly_price	Price per month
admin.student_phone	Phone
admin.student_started	Start date
admin.student_status_active	Active
admin.student_status_completed	Completed
admin.student_status_paused	Paused
admin.students_deleted	Student removed.
admin.students_invoice_btn	Invoice
admin.students_invoice_ok	Invoice created.
admin.students_print_invoice	Print invoice
admin.students_saved	Student saved.
admin.support_page.ai_error	AI compose failed.
admin.support_page.cat_billing	Billing / license
admin.support_page.cat_bug	Bug report
admin.support_page.cat_feature	Feature request
admin.support_page.cat_other	Other
admin.support_page.category	Category
admin.support_page.client_name	Customer name
admin.support_page.client_topic	Topic (booking, price, question…)
admin.support_page.copy_draft	Copy text
admin.support_page.draft_notes	What do you want to say?
admin.support_page.inbox_attach	Screenshots
admin.support_page.inbox_author_owner	BILOHASH support
admin.support_page.inbox_author_you	You
admin.support_page.inbox_reply	Your reply
admin.support_page.inbox_send	Send reply
admin.support_page.inbox_sent_ok	Reply sent.
admin.support_page.inbox_unread	New reply
admin.support_page.message	Message
admin.support_page.send_owner	Send message
admin.support_page.sent_ok	Message sent! We will get back to you soon.
admin.support_page.subject	Subject
admin.support_page.tab_inbox	Conversations
admin.support_page.your_email_hint	Optional — so we can reply to you directly.
admin.tagline	Tagline
admin.tasks_done_summary	Completed tasks ({n})
admin.tasks_go_blocks	Hero image
admin.tasks_title	Launch task checklist
admin.template_active	Active
admin.template_recommended	Recommended
admin.view_site	View site
landing.eur	€
landing.form_phone	Phone
nav.contact	Contact
